,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
9839,,37,179.0,77.0,7.0,81.0,39.5
9680,,23,195.0,87.0,26.0,110.0,40.5
7093,,33,181.0,77.0,12.0,88.0,40.1
11293,,66,156.0,54.0,9.0,77.0,39.5
820,,32,144.0,49.0,5.0,90.0,39.0
1643,,24,175.0,66.0,17.0,93.0,40.5
7219,,59,164.0,63.0,20.0,109.0,40.5
12121,,21,170.0,67.0,17.0,95.0,40.0
2631,,23,189.0,79.0,5.0,94.0,38.9
107,,26,159.0,53.0,19.0,92.0,40.5
10330,,60,183.0,82.0,10.0,92.0,39.2
367,,56,160.0,63.0,4.0,84.0,38.7
8796,,50,202.0,102.0,2.0,81.0,38.3
416,,49,173.0,67.0,10.0,85.0,39.5
2420,,63,177.0,80.0,3.0,89.0,38.7
729,,24,166.0,71.0,2.0,78.0,38.2
6874,,41,173.0,69.0,10.0,91.0,39.7
9993,,66,158.0,53.0,19.0,103.0,40.6
8604,,24,169.0,68.0,21.0,103.0,40.3
3559,,31,164.0,57.0,22.0,109.0,40.7
6037,,30,180.0,84.0,16.0,98.0,40.1
9840,,44,185.0,87.0,10.0,89.0,39.7
6208,,78,174.0,73.0,24.0,95.0,40.7
2388,,26,176.0,81.0,12.0,90.0,39.7
5562,,36,198.0,101.0,8.0,89.0,39.8
3433,,31,180.0,79.0,25.0,102.0,40.8
10498,,55,158.0,60.0,4.0,94.0,38.4
8440,,37,195.0,97.0,18.0,97.0,40.4
6749,,27,166.0,58.0,15.0,101.0,40.1
14761,,28,171.0,76.0,15.0,94.0,40.5
510,,36,173.0,75.0,16.0,94.0,40.4
700,,21,182.0,87.0,22.0,107.0,40.6
4026,,27,194.0,90.0,7.0,89.0,39.5
11136,,71,190.0,90.0,25.0,109.0,40.9
2628,,27,161.0,55.0,13.0,93.0,40.2
3680,,51,194.0,96.0,12.0,99.0,39.9
1277,,32,182.0,87.0,20.0,98.0,40.7
5228,,47,176.0,75.0,6.0,83.0,39.8
2030,,37,144.0,47.0,17.0,96.0,40.0
6225,,79,160.0,60.0,28.0,108.0,40.9
39,,61,183.0,86.0,1.0,81.0,38.3
1891,,46,151.0,51.0,28.0,108.0,40.9
7213,,55,183.0,85.0,20.0,94.0,40.3
4786,,50,169.0,74.0,30.0,113.0,40.8
3422,,26,191.0,96.0,8.0,92.0,39.7
7732,,53,188.0,88.0,16.0,96.0,40.5
9753,,79,142.0,50.0,14.0,86.0,40.1
9584,,27,164.0,59.0,4.0,86.0,39.1
2980,,54,162.0,63.0,13.0,101.0,40.0
9630,,60,155.0,54.0,16.0,99.0,40.5
13063,,78,187.0,88.0,22.0,98.0,40.8
1303,,21,167.0,63.0,22.0,102.0,40.8
11514,,69,185.0,85.0,30.0,113.0,40.7
7711,,79,176.0,83.0,2.0,89.0,38.3
7472,,28,175.0,74.0,23.0,107.0,40.7
346,,76,195.0,93.0,23.0,96.0,40.5
7377,,22,177.0,70.0,22.0,109.0,40.6
8777,,30,177.0,80.0,9.0,92.0,39.4
10688,,26,187.0,89.0,21.0,106.0,40.5
474,,25,198.0,96.0,5.0,85.0,39.1
4400,,30,164.0,66.0,1.0,67.0,38.1
8950,,47,175.0,69.0,29.0,117.0,41.1
6066,,66,171.0,62.0,3.0,80.0,38.6
10608,,71,186.0,92.0,7.0,85.0,39.5
9798,,25,177.0,78.0,26.0,108.0,40.9
322,,20,187.0,86.0,23.0,100.0,40.3
14195,,78,191.0,91.0,24.0,98.0,40.6
10506,,44,195.0,92.0,6.0,83.0,39.4
7877,,51,174.0,80.0,18.0,82.0,40.4
12184,,22,159.0,55.0,4.0,86.0,38.8
2754,,52,190.0,93.0,26.0,105.0,40.5
9742,,47,147.0,51.0,24.0,106.0,40.3
11504,,54,141.0,48.0,18.0,103.0,40.3
12597,,42,153.0,56.0,19.0,102.0,40.5
13380,,56,200.0,100.0,9.0,92.0,39.9
971,,20,176.0,69.0,10.0,84.0,40.2
3076,,41,158.0,54.0,19.0,99.0,40.3
6700,,21,157.0,54.0,16.0,98.0,40.4
12273,,24,180.0,77.0,28.0,113.0,40.5
12835,,65,166.0,70.0,15.0,100.0,39.9
12547,,43,165.0,65.0,16.0,93.0,40.4
8628,,38,178.0,81.0,26.0,110.0,40.6
5168,,35,171.0,70.0,6.0,96.0,39.4
6794,,20,173.0,79.0,2.0,78.0,37.9
1201,,28,183.0,88.0,6.0,78.0,39.4
2727,,70,176.0,85.0,25.0,99.0,40.7
6104,,22,156.0,50.0,28.0,104.0,40.8
8271,,34,157.0,61.0,27.0,106.0,41.1
10254,,24,185.0,91.0,29.0,97.0,40.8
36,,70,154.0,59.0,10.0,88.0,40.0
6032,,59,175.0,73.0,10.0,86.0,39.9
4751,,24,184.0,79.0,24.0,102.0,40.6
6742,,42,212.0,112.0,12.0,93.0,40.0
6618,,64,170.0,69.0,22.0,100.0,40.4
6935,,42,159.0,57.0,12.0,93.0,39.8
5786,,20,163.0,66.0,1.0,86.0,37.8
11305,,27,213.0,119.0,9.0,87.0,39.9
7895,,50,173.0,73.0,8.0,85.0,39.9
4600,,37,170.0,76.0,7.0,86.0,39.3
13511,,55,167.0,75.0,12.0,90.0,40.1
3817,,61,183.0,85.0,20.0,99.0,40.7
3090,,48,197.0,89.0,18.0,102.0,40.3
12233,,24,176.0,66.0,6.0,85.0,39.2
1288,,30,199.0,99.0,16.0,103.0,40.3
3031,,27,191.0,90.0,18.0,107.0,40.6
9367,,42,163.0,66.0,8.0,87.0,39.5
2977,,47,173.0,67.0,2.0,86.0,38.1
2400,,76,167.0,65.0,26.0,102.0,40.9
9463,,43,156.0,54.0,24.0,108.0,40.9
14509,,40,172.0,66.0,20.0,98.0,40.7
5664,,71,157.0,62.0,21.0,98.0,40.5
4252,,77,186.0,93.0,29.0,102.0,40.8
1746,,70,179.0,80.0,22.0,105.0,40.5
7508,,45,177.0,85.0,7.0,89.0,39.5
7510,,24,195.0,92.0,10.0,93.0,39.8
9923,,49,181.0,87.0,10.0,92.0,39.8
11882,,47,159.0,60.0,27.0,104.0,40.8
11927,,47,158.0,55.0,25.0,108.0,41.0
6595,,32,189.0,94.0,7.0,83.0,39.2
9791,,33,195.0,94.0,12.0,81.0,40.3
9891,,68,173.0,68.0,13.0,91.0,39.9
11909,,68,173.0,77.0,28.0,105.0,40.8
6433,,65,176.0,88.0,30.0,110.0,40.4
2507,,59,190.0,93.0,22.0,93.0,40.7
14118,,24,155.0,60.0,18.0,99.0,40.6
14432,,30,164.0,62.0,2.0,81.0,38.1
10827,,66,193.0,101.0,1.0,83.0,37.9
210,,65,204.0,103.0,14.0,93.0,40.1
13162,,37,163.0,58.0,9.0,82.0,39.7
1950,,33,186.0,83.0,24.0,116.0,40.3
14630,,28,167.0,66.0,3.0,87.0,38.5
651,,46,201.0,96.0,25.0,108.0,40.3
2206,,66,155.0,62.0,19.0,99.0,40.5
8596,,40,158.0,55.0,16.0,84.0,40.1
2615,,24,170.0,72.0,9.0,77.0,39.7
1396,,43,171.0,76.0,14.0,95.0,40.2
12585,,69,171.0,80.0,21.0,103.0,40.3
5425,,73,192.0,92.0,2.0,68.0,38.2
